"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"109","Banca e inversiones",25,13,24,0.88,0.24,432,665.144028706413,0.00333333333333333,548.572014353206
"110","Diseño gráfico",124,79,108,0.806451612903226,0.120967741935484,106.659729448491,990.931119522506,0.00262260687123,548.795424485498
"111","Medicamentos para el sistema nervioso central",2846,187,291,0.833099086437105,0.0421644413211525,741.882801816755,359.58071281076,0.073862863056959,550.731757313758
"112","Componentes pasivos discretos",106,16,66,0.943396226415094,0,347.098611605554,755.764395125449,0.0255166217430368,551.431503365501
"113","Cubiertas, cajas y envolturas",49,26,42,0.673469387755102,0.0816326530612245,345.689296126614,785.295026207646,0.0144557823129252,565.49216116713
"114","Suministros para formación y estudios de medicina",145,57,93,0.924137931034483,0.110344827586207,302.021403091558,841.216205065845,0.0234674329501916,571.618804078701
"115","Generación de energía",108,65,88,0.87037037037037,0.0648148148148148,145.747599451303,1007.73575075734,0.00536517826237452,576.74167510432
"116","Fibra, hilos e hilados",62,32,51,0.838709677419355,0.0161290322580645,265.348595213319,890.43168753691,0.0105764145954521,577.890141375115
"117","Artistas e intérpretes profesionales",73,40,54,0.712328767123288,0.0684931506849315,279.602176768624,886.653168491766,0.0144596651445967,583.127672630195
"118","Servicios de seguimiento, control o rehabilitación de contaminantes",30,29,27,0.866666666666667,0.133333333333333,422.222222222222,754.852537491063,0.00919540229885057,588.537379856642
"119","Rodamientos, cojinetes ruedas y engranajes",80,48,61,0.7125,0.0375,240.625,937.899856029816,0.0117088607594937,589.262428014908
"120","Implantes ortopédicos quirúrgicos",4530,46,148,0.99448123620309,0.0450331125827815,747.678708048867,435.723746326218,0.0745635802044904,591.701227187543
"121","Servicios de muerte y soporte al fallecimiento",151,37,46,0.662251655629139,0.0596026490066225,497.785184860313,695.018930440507,0.0434437086092715,596.40205765041
"122","Aditivos",102,30,58,0.941176470588235,0.0980392156862745,307.574009996155,894.134496155044,0.0211609396233741,600.8542530756
